"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"NXN","Nuveen Insured New York Select Tax-Free Income Portfolio","13.72","53849559.4","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/nxn",
"NOM","Nuveen Missouri Quality Municipal Income Fund","16","37443312","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/nom",
"NMI","Nuveen Municipal Income Fund, Inc.","12.18","101300134.32","n/a","1988","n/a","n/a","http://www.nasdaq.com/symbol/nmi",
"NNC","Nuveen North Carolina Quality Municipal Income Fd","13.1","215082454.8","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/nnc",
"NAD","Nuveen Quality Municipal Income Fund","13.84","2794050575.28","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/nad",
"NIM","Nuveen Select Maturities Municipal Fund","10.04","124951444.52","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/nim",
"JTD","Nuveen Tax-Advantaged Dividend Growth Fund","15.65","226679921","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jtd",
"NVR","NVR, Inc.","2124","7934495112","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/nvr",
"OCIP","OCI Partners LP","7.45","648132045.5","n/a","2013","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ocip",
"OGE","OGE Energy Corporation","34.52","6893785497.48","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/oge",
"OMAA","OM Asset Management plc","23.33","0","n/a","2016","Finance","Investment Managers","http://www.nasdaq.com/symbol/omaa",
"ASGN","On Assignment, Inc.","51.38","2712600471.98","n/a","1992","Technology","Professional Services","http://www.nasdaq.com/symbol/asgn",
"OKS","ONEOK Partners, L.P.","51.97","14854389277.04","n/a","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/oks",
"OA","Orbital ATK, Inc.","98.34","5669598380.16","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/oa",
"OSK","Oshkosh Corporation","68.99","5160074348.74","n/a","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/osk",
"OI","Owens-Illinois, Inc.","21.9","3563088674.7","n/a","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/oi",
"PKG","Packaging Corporation of America","98.63","9291565790.92","n/a","2000","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/pkg",
"PGRE","Paramount Group, Inc.","16.47","3810827200.05","n/a","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/pgre",
